Area,House Price,Minimal Downpayment,,,,,,,
Downtown & Westside,"3,118,200",623640,,,,,,,
West Vancouver,"2,743,600",548720,,,,,,,
North Vancouver,"1,665,100",333020,,,,,,,
Richmond,"1,581,600",316320,,,,,,,
South Burnaby,"1,564,000",312800,,,,,,,
Port Moody,"1,515,600",303120,,,,,,,
East Vancouver,"1,507,200",301440,,,,,,,
North Burnaby,"1,502,200",300440,,,,,,,
South Surrey & White Rock,"1,443,500",288700,,,,,,,
East Burnaby,"1,281,700",256340,,,,,,,
Coquitlam,"1,262,100",252420,,,,,,,
Tsawwassen,"1,153,300",230660,,,,,,,
New Westminster,"1,127,200",225440,,,,,,,
Langley,"1,090,800",218160,,,,,,,
Cloverdale,"1,087,400",217480,,,,,,,
Central Surrey,"1,086,300",217260,,,,,,,
Ladner,"1,042,000",208400,,,,,,,
Port Coquitlam,"1,034,400",206880,,,,,,,
Squamish,"1,016,600",203320,,,,,,,
North Surrey,"1,015,700",203140,,,,,,,
Pitt Meadows,"974,800",72480,,,,,,,
North Delta,"972,500",72250,,,,,,,
Maple Ridge,"884,200",63420,,,,,,,
Abbotsford,"873,600",62360,,,,,,,
Mission,"726,000",47600,,,,,,,
